path,true_label,raw_score,calibrated_score
landscape_mountain.jpg,0,0.3251,0.2287
portrait_natural_asymmetry.jpg,0,0.1705,0.0671
urban_street_jpeg_artifacts.jpg,0,0.1946,0.086
bw_portrait_newspaper.jpg,0,0.4307,0.3861
nature_closeup_forest.jpg,0,0.609,0.6763
night_cityscape.jpg,0,0.1778,0.0725
group_event_photo.jpg,0,0.3324,0.2386
sports_action_motion_blur.jpg,0,0.3307,0.2363
old_photo_aging_vignette.jpg,0,0.7096,0.8156
underwater_scene.jpg,0,0.2643,0.1541
perfect_smooth_face_gan.jpg,1,0.6304,0.7086
digital_art_portrait_diffusion.jpg,1,0.6247,0.7001
fantasy_landscape_impossible.jpg,1,0.2598,0.1491
anime_style_face.jpg,1,0.4807,0.468
textureless_skin_flat_lighting.jpg,1,0.6249,0.7004
perfect_mirror_symmetry.jpg,1,0.6088,0.6761
ai_color_grading_hdr.jpg,1,0.617,0.6885
concept_art_glow_effect.jpg,1,0.7627,0.8746
midjourney_hyperdetail_portrait.jpg,1,0.6068,0.673
gan_frequency_artifacts.jpg,1,0.4259,0.3782
